Month,Day,SunRiseHour,SunRiseMin,SunSetHour,SunSetMin
January,1,7,51,16,42
January,2,7,51,16,43
January,3,7,51,16,44
January,4,7,51,16,45
January,5,7,51,16,46
January,6,7,51,16,47
January,7,7,51,16,48
January,8,7,51,16,49
January,9,7,50,16,50
January,10,7,50,16,51
January,11,7,50,16,52
January,12,7,49,16,54
January,13,7,49,16,55
January,14,7,48,16,56
January,15,7,48,16,57
January,16,7,47,16,59
January,17,7,47,17,0
January,18,7,46,17,1
January,19,7,45,17,3
January,20,7,45,17,4
January,21,7,44,17,5
January,22,7,43,17,7
January,23,7,42,17,8
January,24,7,41,17,9
January,25,7,40,17,11
January,26,7,39,17,12
January,27,7,39,17,13
January,28,7,37,17,15
January,29,7,36,17,16
January,30,7,35,17,18
January,31,7,34,17,19
February,1,7,33,17,21
February,2,7,32,17,22
February,3,7,31,17,23
February,4,7,30,17,25
February,5,7,28,17,26
February,6,7,27,17,28
February,7,7,26,17,29
February,8,7,24,17,31
February,9,7,24,17,32
February,10,7,22,17,33
February,11,7,20,17,35
February,12,7,19,17,36
February,13,7,17,17,38
February,14,7,16,17,39
February,15,7,14,17,41
February,16,7,13,17,42
February,17,7,11,17,43
February,18,7,10,17,45
February,19,7,8,17,46
February,20,7,6,17,48
February,21,7,5,17,49
February,22,7,3,17,50
February,23,7,2,17,52
February,24,7,0,17,53
February,25,6,58,17,55
February,26,6,57,17,56
February,27,6,55,17,57
February,28,6,53,17,59
March,1,6,51,18,0
March,2,6,50,18,1
March,3,6,48,18,3
March,4,6,46,18,4
March,5,6,44,18,5
March,6,6,42,18,7
March,7,6,41,18,8
March,8,6,39,18,9
March,9,6,37,18,11
March,10,6,35,18,12
March,11,7,33,19,13
March,12,7,32,19,15
March,13,7,30,19,16
March,14,7,28,19,17
March,15,7,26,19,19
March,16,7,24,19,20
March,17,7,22,19,21
March,18,7,20,19,23
March,19,7,19,19,24
March,20,7,17,19,25
March,21,7,15,19,26
March,22,7,13,19,28
March,23,7,11,19,29
March,24,7,9,19,30
March,25,7,7,19,32
March,26,7,5,19,33
March,27,7,4,19,34
March,28,7,2,19,35
March,29,7,0,19,37
March,30,6,58,19,38
March,31,6,56,19,39
April,1,6,54,19,40
April,2,6,53,19,42
April,3,6,50,19,43
April,4,6,49,19,44
April,5,6,47,19,46
April,6,6,45,19,47
April,7,6,43,19,48
April,8,6,41,19,49
April,9,6,39,19,51
April,10,6,38,19,52
April,11,6,36,19,53
April,12,6,34,19,54
April,13,6,32,19,56
April,14,6,31,19,57
April,15,6,29,19,58
April,16,6,27,19,59
April,17,6,25,20,1
April,18,6,24,20,2
April,19,6,22,20,3
April,20,6,20,20,4
April,21,6,19,20,6
April,22,6,17,20,7
April,23,6,15,20,8
April,24,6,14,20,10
April,25,6,12,20,11
April,26,6,10,20,12
April,27,6,9,20,13
April,28,6,7,20,15
April,29,6,6,20,16
April,30,6,4,20,17
May,1,6,3,20,18
May,2,6,1,20,20
May,3,6,0,20,21
May,4,5,58,20,22
May,5,5,57,20,23
May,6,5,56,20,24
May,7,5,54,20,26
May,8,5,53,20,27
May,9,5,52,20,28
May,10,5,50,20,29
May,11,5,49,20,30
May,12,5,48,20,32
May,13,5,47,20,33
May,14,5,45,20,34
May,15,5,44,20,35
May,16,5,43,20,36
May,17,5,42,20,37
May,18,5,41,20,39
May,19,5,40,20,40
May,20,5,39,20,41
May,21,5,38,20,42
May,22,5,37,20,43
May,23,5,36,20,44
May,24,5,35,20,45
May,25,5,35,20,46
May,26,5,34,20,47
May,27,5,33,20,48
May,28,5,32,20,49
May,29,5,32,20,50
May,30,5,31,20,51
May,31,5,30,20,52
June,1,5,30,20,52
June,2,5,29,20,53
June,3,5,29,20,54
June,4,5,28,20,55
June,5,5,28,20,56
June,6,5,27,20,56
June,7,5,27,20,57
June,8,5,27,20,58
June,9,5,26,20,58
June,10,5,26,20,59
June,11,5,26,20,59
June,12,5,26,21,0
June,13,5,26,21,1
June,14,5,26,21,1
June,15,5,26,21,1
June,16,5,26,21,2
June,17,5,26,21,2
June,18,5,26,21,3
June,19,5,26,21,3
June,20,5,26,21,3
June,21,5,26,21,3
June,22,5,26,21,4
June,23,5,27,21,4
June,24,5,27,21,4
June,25,5,27,21,4
June,26,5,28,21,4
June,27,5,28,21,4
June,28,5,29,21,4
June,29,5,29,21,4
June,30,5,29,21,4
July,1,5,30,21,3
July,2,5,31,21,3
July,3,5,31,21,3
July,4,5,32,21,3
July,5,5,32,21,2
July,6,5,33,21,2
July,7,5,34,21,2
July,8,5,35,21,1
July,9,5,35,21,1
July,10,5,36,21,0
July,11,5,37,21,0
July,12,5,38,20,59
July,13,5,39,20,58
July,14,5,39,20,58
July,15,5,40,20,57
July,16,5,41,20,56
July,17,5,42,20,56
July,18,5,43,20,55
July,19,5,44,20,54
July,20,5,45,20,53
July,21,5,46,20,52
July,22,5,47,20,51
July,23,5,48,20,50
July,24,5,49,20,49
July,25,5,50,20,48
July,26,5,51,20,47
July,27,5,52,20,46
July,28,5,54,20,45
July,29,5,55,20,44
July,30,5,56,20,42
July,31,5,57,20,41
August,1,5,58,20,40
August,2,5,59,20,39
August,3,6,0,20,37
August,4,6,1,20,36
August,5,6,3,20,35
August,6,6,4,20,33
August,7,6,5,20,32
August,8,6,6,20,30
August,9,6,7,20,29
August,10,6,8,20,27
August,11,6,10,20,26
August,12,6,11,20,24
August,13,6,12,20,23
August,14,6,13,20,21
August,15,6,14,20,20
August,16,6,16,20,18
August,17,6,17,20,17
August,18,6,18,20,15
August,19,6,19,20,13
August,20,6,20,20,12
August,21,6,22,20,10
August,22,6,23,20,8
August,23,6,24,20,7
August,24,6,25,20,5
August,25,6,26,20,3
August,26,6,28,20,1
August,27,6,29,20,0
August,28,6,30,19,58
August,29,6,31,19,56
August,30,6,32,19,54
August,31,6,33,19,52
September,1,6,35,19,51
September,2,6,36,19,49
September,3,6,37,19,47
September,4,6,38,19,45
September,5,6,39,19,43
September,6,6,41,19,41
September,7,6,42,19,39
September,8,6,43,19,38
September,9,6,44,19,36
September,10,6,45,19,34
September,11,6,47,19,32
September,12,6,48,19,30
September,13,6,49,19,28
September,14,6,50,19,26
September,15,6,51,19,24
September,16,6,53,19,22
September,17,6,54,19,21
September,18,6,55,19,19
September,19,6,56,19,17
September,20,6,57,19,15
September,21,6,59,19,13
September,22,7,0,19,11
September,23,7,1,19,9
September,24,7,2,19,7
September,25,7,3,19,5
September,26,7,5,19,3
September,27,7,6,19,1
September,28,7,7,19,0
September,29,7,8,18,58
September,30,7,9,18,56
October,1,7,11,18,54
October,2,7,12,18,52
October,3,7,13,18,50
October,4,7,14,18,48
October,5,7,16,18,46
October,6,7,17,18,45
October,7,7,18,18,43
October,8,7,19,18,41
October,9,7,21,18,39
October,10,7,22,18,37
October,11,7,23,18,36
October,12,7,24,18,34
October,13,7,26,18,32
October,14,7,27,18,30
October,15,7,28,18,29
October,16,7,30,18,27
October,17,7,31,18,25
October,18,7,32,18,23
October,19,7,34,18,22
October,20,7,35,18,20
October,21,7,36,18,18
October,22,7,38,18,17
October,23,7,39,18,15
October,24,7,40,18,14
October,25,7,42,18,12
October,26,7,43,18,10
October,27,7,44,18,9
October,28,7,46,18,7
October,29,7,47,18,6
October,30,7,48,18,4
October,31,7,50,18,3
November,1,7,51,18,1
November,2,7,52,18,0
November,3,7,54,17,59
November,4,6,55,16,57
November,5,6,57,16,56
November,6,6,58,16,55
November,7,6,59,16,53
November,8,7,1,16,52
November,9,7,2,16,51
November,10,7,4,16,50
November,11,7,5,16,49
November,12,7,6,16,47
November,13,7,8,16,46
November,14,7,9,16,45
November,15,7,10,16,44
November,16,7,12,16,43
November,17,7,13,16,42
November,18,7,14,16,41
November,19,7,16,16,41
November,20,7,17,16,40
November,21,7,18,16,39
November,22,7,20,16,38
November,23,7,21,16,37
November,24,7,22,16,37
November,25,7,23,16,36
November,26,7,25,16,35
November,27,7,26,16,35
November,28,7,27,16,34
November,29,7,28,16,34
November,30,7,30,16,33
December,1,7,31,16,33
December,2,7,32,16,33
December,3,7,33,16,32
December,4,7,34,16,32
December,5,7,35,16,32
December,6,7,36,16,32
December,7,7,37,16,31
December,8,7,38,16,31
December,9,7,39,16,31
December,10,7,40,16,31
December,11,7,41,16,31
December,12,7,42,16,31
December,13,7,43,16,31
December,14,7,43,16,32
December,15,7,44,16,32
December,16,7,45,16,32
December,17,7,46,16,32
December,18,7,46,16,33
December,19,7,47,16,33
December,20,7,48,16,34
December,21,7,48,16,34
December,22,7,49,16,35
December,23,7,49,16,35
December,24,7,49,16,36
December,25,7,50,16,36
December,26,7,50,16,37
December,27,7,50,16,38
December,28,7,51,16,38
December,29,7,51,16,39
December,30,7,51,16,40
December,31,7,51,16,41
